additive_estimated_nll_gain,budget_fraction,executed_nll_gain,image_count,maximum_budget_bytes,mean_added_bytes,mean_answer_nll,mean_js_divergence,non_additivity_error,official_gain_vs_all_w4,official_score,policy,relative_nll_recovery,sample_count
0.023288926687140096,0.05,0.015816471929429143,20,52418969,38535168.0,0.5191385172870165,0.010626907699649262,-0.007472454757710953,0.025,0.6666666666666666,global_static,0.514598048021862,120
0.04335165742498551,0.1,0.014883043616040093,20,104837939,92905472.0,0.5200719456004056,0.01059843127137962,-0.028468613808945414,0.008333333333333333,0.65,global_static,0.4842284188035664,120
0.06739893020761277,0.2,0.002483744974597357,20,209675878,182517760.0,0.5324712442418483,0.011039027006791002,-0.06491518523301541,0.008333333333333333,0.65,global_static,0.08081007707753952,120
0.017638517864300714,0.05,0.003972794212556141,20,52418969,35918097.06666667,0.5309821950038895,0.013055641995257853,-0.013665723651744573,0.025,0.6666666666666666,leave_one_query_out_per_image,0.12925715394025475,120
0.034807468411599984,0.1,0.016238459717715203,20,104837939,83021755.73333333,0.5187165294987305,0.01109796272382179,-0.01856900869388478,0.025,0.6666666666666666,leave_one_query_out_per_image,0.5283276644059697,120
0.04795442730731641,0.2,0.010706765762491521,20,209675878,182011016.53333333,0.5242482234539542,0.010974144469946623,-0.03724766154482489,0.041666666666666664,0.6833333333333333,leave_one_query_out_per_image,0.3483508070945818,120
0.01911079853210443,0.05,0.0076593583284799704,20,52418969,34563413.333333336,0.5272956308879657,0.012791399116031244,-0.011451440203624461,0.03333333333333333,0.675,per_image_family,0.249201646392581,120
0.03528044041740941,0.1,0.012628126093962577,20,104837939,82323114.66666667,0.5223268631224831,0.011659207221358277,-0.02265231432344683,0.041666666666666664,0.6833333333333333,per_image_family,0.41086337503850817,120
0.05113182050263276,0.2,0.02096244312124329,20,209675878,182531822.93333334,0.5139925460952024,0.010313797788027539,-0.030169377381389473,0.03333333333333333,0.675,per_image_family,0.6820251924760596,120
0.023566846268173926,0.05,0.006999254038479896,20,52418969,37829563.733333334,0.5279557351779658,0.012212474034943929,-0.01656759222969403,0.025,0.6666666666666666,per_query_family,0.22772477211615977,120
0.039968539522669745,0.1,0.00897388833885393,20,104837939,87509674.66666667,0.5259811008775918,0.01197600814114897,-0.030994651183815815,0.016666666666666666,0.6583333333333333,per_query_family,0.29197063940333856,120
0.058302970934892076,0.2,0.02014100655602913,20,209675878,188516215.46666667,0.5148139826604166,0.009634777339215361,-0.03816196437886295,0.03333333333333333,0.675,per_query_family,0.6552992794583486,120
0.038316604069405,0.05,0.04786337947007274,20,52418969,34563413.333333336,0.48709160974637294,0.01310300207696855,0.009546775400667742,0.05,0.6916666666666667,per_query_oracle,1.5572626915108794,120
0.07274451342333729,0.1,0.0583999336706863,20,104837939,82323114.66666667,0.4765550555457594,0.012214626561581099,-0.014344579752650993,0.041666666666666664,0.6833333333333333,per_query_oracle,1.9000755671448946,120
0.10649824525341198,0.2,0.0920237355516293,20,209675878,182531822.93333334,0.4429312536648164,0.01088078991566969,-0.014474509701782684,0.08333333333333333,0.725,per_query_oracle,2.9940453786306334,120
0.017625417204544646,0.05,0.008653477775321106,20,52418969,38012381.86666667,0.5263015114411246,0.013579932388044351,-0.00897193942922354,0.03333333333333333,0.675,random_equal_byte,0.2815458966860461,120
0.038204624820355096,0.1,0.00615456723414054,20,104837939,92403848.53333333,0.5288004219823051,0.011579452052948606,-0.032050057586214556,0.03333333333333333,0.675,random_equal_byte,0.20024239914181302,120
0.06855582305045876,0.2,0.0061305544804781675,20,209675878,203299089.06666666,0.5288244347359675,0.009351291891759199,-0.062425268569980596,0.03333333333333333,0.675,random_equal_byte,0.1994611303343684,120
