group_id,partial_r2
bridge.merger,-0.5228470649478806
decoder.q1.attention,-0.61597966804236
decoder.q1.mlp,-0.7785636341372347
decoder.q2.attention,-0.7848377722146683
decoder.q2.mlp,-0.4605823731083352
decoder.q3.attention,-0.4246256299566029
decoder.q3.mlp,-0.6524163035682264
decoder.q4.attention,-0.6164431309325265
decoder.q4.mlp,-0.5046517000568863
vision.q1,-0.5845833580629626
vision.q2,-0.6387595941587837
vision.q3,-0.47087730194121924
vision.q4,-0.7717051638313756
